Family,Name,Filename
Abadi MT Condensed,Abadi MT Condensed Light,abac.ttf
Arial Black,Arial Black,ariblk.ttf
Arial,Arial Bold Italic,arialbi.ttf
Arial,Arial Bold,arialbd.ttf
Arial,Arial Italic,ariali.ttf
Arial,Arial,arial.ttf
Book Antiqua,Book Antiqua Bold Italic,antquabi.ttf
Book Antiqua,Book Antiqua Bold,antquab.ttf
Book Antiqua,Book Antiqua Italic,antquai.ttf
Book Antiqua,Book Antiqua,bkant.ttf
Calisto MT,Calisto MT,calist.ttf
Century Gothic,Century Gothic Bold Italic,gothicbi.ttf
Century Gothic,Century Gothic Bold,gothicb.ttf
Century Gothic,Century Gothic Italic,gothici.ttf
Century Gothic,Century Gothic,gothic.ttf
Comic Sans MS,Comic Sans MS Bold,comicbd.ttf
Comic Sans MS,Comic Sans MS,comic.ttf
Copperplate Gothic,Copperplate Gothic Bold,coprgtb.ttf
Copperplate Gothic,Copperplate Gothic Light,coprgtl.ttf
Courier New,Courier New Bold Italic,courbi.ttf
Courier New,Courier New Bold,courbd.ttf
Courier New,Courier New Italic,couri.ttf
Courier New,Courier New,cour.ttf
Georgia,Georgia Bold Italic,georgiaz.ttf
Georgia,Georgia Bold,georgiab.ttf
Georgia,Georgia Italic,georgiai.ttf
Georgia,Georgia,georgia.ttf
Impact,Impact,impact.ttf
Lucida Console,Lucida Console,lucon.ttf
Lucida Handwriting,Lucida Handwriting,lhandw.ttf
Lucida Sans Unicode,Lucida Sans Unicode,l_10646.ttf
Lucida Sans,Lucida Sans Regular,lsansi.ttf
Marlett,Marlett,marlett.ttf
News Gothic MT,News Gothic MT Bold,nwgthcb.ttf
News Gothic MT,News Gothic MT Italic,nwgthci.ttf
News Gothic MT,News Gothic MT,nwgthc.ttf
OCR A Extended,OCR A Extended,ocraext.ttf
Symbol,Symbol,symbol.ttf
Tahoma,Tahoma Bold,tahomabd.ttf
Tahoma,Tahoma,tahoma.ttf
Times New Roman,Times New Roman Bold Italic,timesbi.ttf
Times New Roman,Times New Roman Bold,timesbd.ttf
Times New Roman,Times New Roman Italic,timesi.ttf
Times New Roman,Times New Roman,times.ttf
Trebuchet MS,Trebuchet MS Bold Italic,trebucbi.ttf
Trebuchet MS,Trebuchet MS Bold,trebucbd.ttf
Trebuchet MS,Trebuchet MS Italic,trebucit.ttf
Trebuchet MS,Trebuchet MS,trebuc.ttf
Verdana,Verdana Bold Italic,verdanaz.ttf
Verdana,Verdana Bold,verdanab.ttf
Verdana,Verdana Italic,verdanai.ttf
Verdana,Verdana,verdana.ttf
Webdings,Webdings,webdings.ttf
Westminster,Westminster,westm.ttf
Wingdings,Wingdings,wingding.ttf
